Distrito,Causa_Morte,Ano,Obitos
Distrito de Castelo Branco,Suicídio,2005,12
Distrito de Castelo Branco,Tuberculose,2005,4
Distrito de Castelo Branco,Tumores malignos,2005,574
Distrito de Castelo Branco,Diabetes,2006,113
Distrito de Castelo Branco,Doenças do aparelho circulatório,2006,1040
Distrito de Castelo Branco,Doenças do aparelho digestivo,2006,115
Distrito de Castelo Branco,Doenças do aparelho respiratório,2006,265
Distrito de Castelo Branco,SIDA,2006,4
Distrito de Castelo Branco,Suicídio,2006,14
Distrito de Castelo Branco,Tuberculose,2006,4
Distrito de Castelo Branco,Tumores malignos,2006,576
Distrito de Castelo Branco,Diabetes,2007,120
Distrito de Castelo Branco,Doenças do aparelho circulatório,2007,1005
Distrito de Castelo Branco,Doenças do aparelho digestivo,2007,118
Distrito de Castelo Branco,Doenças do aparelho respiratório,2007,275
Distrito de Castelo Branco,SIDA,2007,4
Distrito de Castelo Branco,Suicídio,2007,15
Distrito de Castelo Branco,Tuberculose,2007,4
Distrito de Castelo Branco,Tumores malignos,2007,579
Distrito de Castelo Branco,Diabetes,2008,127
Distrito de Castelo Branco,Doenças do aparelho circulatório,2008,970
Distrito de Castelo Branco,Doenças do aparelho digestivo,2008,120
Distrito de Castelo Branco,Doenças do aparelho respiratório,2008,284
Distrito de Castelo Branco,SIDA,2008,4
Distrito de Castelo Branco,Suicídio,2008,17
Distrito de Castelo Branco,Tuberculose,2008,3
Distrito de Castelo Branco,Tumores malignos,2008,582
Distrito de Castelo Branco,Diabetes,2009,134
Distrito de Castelo Branco,Doenças do aparelho circulatório,2009,935
Distrito de Castelo Branco,Doenças do aparelho digestivo,2009,123
Distrito de Castelo Branco,Doenças do aparelho respiratório,2009,294
Distrito de Castelo Branco,SIDA,2009,4
Distrito de Castelo Branco,Suicídio,2009,18
Distrito de Castelo Branco,Tuberculose,2009,3
Distrito de Castelo Branco,Tumores malignos,2009,585
Distrito de Castelo Branco,Diabetes,2010,117
Distrito de Castelo Branco,Doenças do aparelho circulatório,2010,902
Distrito de Castelo Branco,Doenças do aparelho digestivo,2010,115
Distrito de Castelo Branco,Doenças do aparelho respiratório,2010,309
Distrito de Castelo Branco,SIDA,2010,1
Distrito de Castelo Branco,Suicídio,2010,26
Distrito de Castelo Branco,Tuberculose,2010,3
Distrito de Castelo Branco,Tumores malignos,2010,611
Distrito de Castelo Branco,Diabetes,2011,109
Distrito de Castelo Branco,Doenças do aparelho circulatório,2011,853
Distrito de Castelo Branco,Doenças do aparelho digestivo,2011,105
Distrito de Castelo Branco,Doenças do aparelho respiratório,2011,326
Distrito de Castelo Branco,SIDA,2011,3
Distrito de Castelo Branco,Suicídio,2011,22
Distrito de Castelo Branco,Tuberculose,2011,5
Distrito de Castelo Branco,Tumores malignos,2011,651
Distrito de Castelo Branco,Diabetes,2012,134
Distrito de Castelo Branco,Doenças do aparelho circulatório,2012,908
Distrito de Castelo Branco,Doenças do aparelho digestivo,2012,149
Distrito de Castelo Branco,Doenças do aparelho respiratório,2012,403
Distrito de Castelo Branco,SIDA,2012,5
Distrito de Castelo Branco,Suicídio,2012,29
Distrito de Castelo Branco,Tuberculose,2012,2
Distrito de Castelo Branco,Tumores malignos,2012,575
Distrito de Castelo Branco,Diabetes,2013,143
Distrito de Castelo Branco,Doenças do aparelho circulatório,2013,826
Distrito de Castelo Branco,Doenças do aparelho digestivo,2013,126
Distrito de Castelo Branco,Doenças do aparelho respiratório,2013,377
Distrito de Castelo Branco,SIDA,2013,5
Distrito de Castelo Branco,Suicídio,2013,24
Distrito de Castelo Branco,Tuberculose,2013,3
Distrito de Castelo Branco,Tumores malignos,2013,679
Distrito de Castelo Branco,Diabetes,2014,123
Distrito de Castelo Branco,Doenças do aparelho circulatório,2014,735
Distrito de Castelo Branco,Doenças do aparelho digestivo,2014,125
Distrito de Castelo Branco,Doenças do aparelho respiratório,2014,359
Distrito de Castelo Branco,SIDA,2014,3
Distrito de Castelo Branco,Suicídio,2014,19
Distrito de Castelo Branco,Tuberculose,2014,0
Distrito de Castelo Branco,Tumores malignos,2014,634
Distrito de Castelo Branco,Diabetes,2015,111
Distrito de Castelo Branco,Doenças do aparelho circulatório,2015,787
Distrito de Castelo Branco,Doenças do aparelho digestivo,2015,92
Distrito de Castelo Branco,Doenças do aparelho respiratório,2015,439
Distrito de Castelo Branco,SIDA,2015,4
Distrito de Castelo Branco,Suicídio,2015,20
Distrito de Castelo Branco,Tuberculose,2015,4
Distrito de Castelo Branco,Tumores malignos,2015,585
Distrito de Castelo Branco,Diabetes,2016,112
Distrito de Castelo Branco,Doenças do aparelho circulatório,2016,783
Distrito de Castelo Branco,Doenças do aparelho digestivo,2016,140
Distrito de Castelo Branco,Doenças do aparelho respiratório,2016,334
Distrito de Castelo Branco,SIDA,2016,4
Distrito de Castelo Branco,Suicídio,2016,14
Distrito de Castelo Branco,Tuberculose,2016,5
Distrito de Castelo Branco,Tumores malignos,2016,653
Distrito de Castelo Branco,Diabetes,2017,104
Distrito de Castelo Branco,Doenças do aparelho circulatório,2017,776
Distrito de Castelo Branco,Doenças do aparelho digestivo,2017,120
Distrito de Castelo Branco,Doenças do aparelho respiratório,2017,334
Distrito de Castelo Branco,SIDA,2017,2
Distrito de Castelo Branco,Suicídio,2017,31
Distrito de Castelo Branco,Tuberculose,2017,5
Distrito de Castelo Branco,Tumores malignos,2017,590
Distrito de Castelo Branco,Diabetes,2018,122
Distrito de Castelo Branco,Doenças do aparelho circulatório,2018,738
Distrito de Castelo Branco,Doenças do aparelho digestivo,2018,106
Distrito de Castelo Branco,Doenças do aparelho respiratório,2018,364
Distrito de Castelo Branco,SIDA,2018,3
Distrito de Castelo Branco,Suicídio,2018,8
Distrito de Castelo Branco,Tuberculose,2018,7
Distrito de Castelo Branco,Tumores malignos,2018,622
Distrito de Castelo Branco,Diabetes,2019,100
Distrito de Castelo Branco,Doenças do aparelho circulatório,2019,837
Distrito de Castelo Branco,Doenças do aparelho digestivo,2019,117
Distrito de Castelo Branco,Doenças do aparelho respiratório,2019,350
Distrito de Castelo Branco,SIDA,2019,0
Distrito de Castelo Branco,Suicídio,2019,23
Distrito de Castelo Branco,Tuberculose,2019,2
Distrito de Castelo Branco,Tumores malignos,2019,661
Distrito de Castelo Branco,Diabetes,2020,97
Distrito de Castelo Branco,Doenças do aparelho circulatório,2020,841
Distrito de Castelo Branco,Doenças do aparelho digestivo,2020,123
Distrito de Castelo Branco,Doenças do aparelho respiratório,2020,303
Distrito de Castelo Branco,SIDA,2020,5
Distrito de Castelo Branco,Suicídio,2020,23
Distrito de Castelo Branco,Tuberculose,2020,2
Distrito de Castelo Branco,Tumores malignos,2020,665
Distrito de Castelo Branco,Diabetes,2021,84
Distrito de Castelo Branco,Doenças do aparelho circulatório,2021,788
Distrito de Castelo Branco,Doenças do aparelho digestivo,2021,125
Distrito de Castelo Branco,Doenças do aparelho respiratório,2021,256
Distrito de Castelo Branco,SIDA,2021,2
Distrito de Castelo Branco,Suicídio,2021,19
Distrito de Castelo Branco,Tuberculose,2021,2
Distrito de Castelo Branco,Tumores malignos,2021,614
Distrito de Castelo Branco,Diabetes,2022,96
Distrito de Castelo Branco,Doenças do aparelho circulatório,2022,808
Distrito de Castelo Branco,Doenças do aparelho digestivo,2022,107
Distrito de Castelo Branco,Doenças do aparelho respiratório,2022,297
Distrito de Castelo Branco,SIDA,2022,1
Distrito de Castelo Branco,Suicídio,2022,21
Distrito de Castelo Branco,Tuberculose,2022,5
Distrito de Castelo Branco,Tumores malignos,2022,633
Distrito de Castelo Branco,Diabetes,2023,83
Distrito de Castelo Branco,Doenças do aparelho circulatório,2023,751
Distrito de Castelo Branco,Doenças do aparelho digestivo,2023,127
Distrito de Castelo Branco,Doenças do aparelho respiratório,2023,372
Distrito de Castelo Branco,SIDA,2023,2
Distrito de Castelo Branco,Suicídio,2023,27
Distrito de Castelo Branco,Tuberculose,2023,2
Distrito de Castelo Branco,Tumores malignos,2023,664
Distrito de Coimbra,Diabetes,2001,208
Distrito de Coimbra,Doenças do aparelho circulatório,2001,1920
Distrito de Coimbra,Doenças do aparelho digestivo,2001,189
Distrito de Coimbra,Doenças do aparelho respiratório,2001,452
Distrito de Coimbra,SIDA,2001,13
Distrito de Coimbra,Suicídio,2001,25
Distrito de Coimbra,Tuberculose,2001,12
Distrito de Coimbra,Tumores malignos,2001,963
Distrito de Coimbra,Diabetes,2002,204
Distrito de Coimbra,Doenças do aparelho circulatório,2002,1877
Distrito de Coimbra,Doenças do aparelho digestivo,2002,191
Distrito de Coimbra,Doenças do aparelho respiratório,2002,484
Distrito de Coimbra,SIDA,2002,13
Distrito de Coimbra,Suicídio,2002,29
Distrito de Coimbra,Tuberculose,2002,11
Distrito de Coimbra,Tumores malignos,2002,971
Distrito de Coimbra,Diabetes,2003,200
Distrito de Coimbra,Doenças do aparelho circulatório,2003,1834
Distrito de Coimbra,Doenças do aparelho digestivo,2003,193
Distrito de Coimbra,Doenças do aparelho respiratório,2003,515
Distrito de Coimbra,SIDA,2003,13
Distrito de Coimbra,Suicídio,2003,32
Distrito de Coimbra,Tuberculose,2003,11
Distrito de Coimbra,Tumores malignos,2003,979
Distrito de Coimbra,Diabetes,2004,196
Distrito de Coimbra,Doenças do aparelho circulatório,2004,1790
Distrito de Coimbra,Doenças do aparelho digestivo,2004,195
Distrito de Coimbra,Doenças do aparelho respiratório,2004,546
Distrito de Coimbra,SIDA,2004,13
Distrito de Coimbra,Suicídio,2004,36
Distrito de Coimbra,Tuberculose,2004,10
Distrito de Coimbra,Tumores malignos,2004,987
Distrito de Coimbra,Diabetes,2005,192
Distrito de Coimbra,Doenças do aparelho circulatório,2005,1747
Distrito de Coimbra,Doenças do aparelho digestivo,2005,198
Distrito de Coimbra,Doenças do aparelho respiratório,2005,578
Distrito de Coimbra,SIDA,2005,13
Distrito de Coimbra,Suicídio,2005,40
Distrito de Coimbra,Tuberculose,2005,10
Distrito de Coimbra,Tumores malignos,2005,996
Distrito de Coimbra,Diabetes,2006,189
Distrito de Coimbra,Doenças do aparelho circulatório,2006,1704
Distrito de Coimbra,Doenças do aparelho digestivo,2006,200
Distrito de Coimbra,Doenças do aparelho respiratório,2006,610
Distrito de Coimbra,SIDA,2006,13
Distrito de Coimbra,Suicídio,2006,43
Distrito de Coimbra,Tuberculose,2006,9
Distrito de Coimbra,Tumores malignos,2006,1004
Distrito de Coimbra,Diabetes,2007,185
Distrito de Coimbra,Doenças do aparelho circulatório,2007,1660
Distrito de Coimbra,Doenças do aparelho digestivo,2007,202
Distrito de Coimbra,Doenças do aparelho respiratório,2007,641
Distrito de Coimbra,SIDA,2007,13
Distrito de Coimbra,Suicídio,2007,47
Distrito de Coimbra,Tuberculose,2007,8
Distrito de Coimbra,Tumores malignos,2007,1012
Distrito de Coimbra,Diabetes,2008,181
Distrito de Coimbra,Doenças do aparelho circulatório,2008,1617
Distrito de Coimbra,Doenças do aparelho digestivo,2008,204
Distrito de Coimbra,Doenças do aparelho respiratório,2008,672
Distrito de Coimbra,SIDA,2008,13
Distrito de Coimbra,Suicídio,2008,50
Distrito de Coimbra,Tuberculose,2008,8
Distrito de Coimbra,Tumores malignos,2008,1020
Distrito de Coimbra,Diabetes,2009,177
Distrito de Coimbra,Doenças do aparelho circulatório,2009,1574
Distrito de Coimbra,Doenças do aparelho digestivo,2009,206
Distrito de Coimbra,Doenças do aparelho respiratório,2009,704
Distrito de Coimbra,SIDA,2009,13
Distrito de Coimbra,Suicídio,2009,54
Distrito de Coimbra,Tuberculose,2009,7
Distrito de Coimbra,Tumores malignos,2009,1028
Distrito de Coimbra,Diabetes,2010,167
Distrito de Coimbra,Doenças do aparelho circulatório,2010,1640
Distrito de Coimbra,Doenças do aparelho digestivo,2010,222
Distrito de Coimbra,Doenças do aparelho respiratório,2010,654
Distrito de Coimbra,SIDA,2010,10
Distrito de Coimbra,Suicídio,2010,47
Distrito de Coimbra,Tuberculose,2010,4
Distrito de Coimbra,Tumores malignos,2010,1042
Distrito de Coimbra,Diabetes,2011,168
Distrito de Coimbra,Doenças do aparelho circulatório,2011,1482
Distrito de Coimbra,Doenças do aparelho digestivo,2011,224
Distrito de Coimbra,Doenças do aparelho respiratório,2011,681
Distrito de Coimbra,SIDA,2011,9
Distrito de Coimbra,Suicídio,2011,43
Distrito de Coimbra,Tuberculose,2011,4
Distrito de Coimbra,Tumores malignos,2011,1072
Distrito de Coimbra,Diabetes,2012,174
Distrito de Coimbra,Doenças do aparelho circulatório,2012,1492
Distrito de Coimbra,Doenças do aparelho digestivo,2012,215
Distrito de Coimbra,Doenças do aparelho respiratório,2012,838
Distrito de Coimbra,SIDA,2012,9
Distrito de Coimbra,Suicídio,2012,43
Distrito de Coimbra,Tuberculose,2012,3
Distrito de Coimbra,Tumores malignos,2012,1133
Distrito de Coimbra,Diabetes,2013,168
Distrito de Coimbra,Doenças do aparelho circulatório,2013,1398
Distrito de Coimbra,Doenças do aparelho digestivo,2013,223
Distrito de Coimbra,Doenças do aparelho respiratório,2013,748
Distrito de Coimbra,SIDA,2013,5
Distrito de Coimbra,Suicídio,2013,55
Distrito de Coimbra,Tuberculose,2013,1
Distrito de Coimbra,Tumores malignos,2013,1078
Distrito de Coimbra,Diabetes,2014,143
Distrito de Coimbra,Doenças do aparelho circulatório,2014,1380
Distrito de Coimbra,Doenças do aparelho digestivo,2014,219
Distrito de Coimbra,Doenças do aparelho respiratório,2014,668
Distrito de Coimbra,SIDA,2014,5
Distrito de Coimbra,Suicídio,2014,50
Distrito de Coimbra,Tuberculose,2014,4
Distrito de Coimbra,Tumores malignos,2014,1126
Distrito de Coimbra,Diabetes,2015,150
Distrito de Coimbra,Doenças do aparelho circulatório,2015,1358
Distrito de Coimbra,Doenças do aparelho digestivo,2015,186
Distrito de Coimbra,Doenças do aparelho respiratório,2015,711
Distrito de Coimbra,SIDA,2015,12
Distrito de Coimbra,Suicídio,2015,57
Distrito de Coimbra,Tuberculose,2015,8
Distrito de Coimbra,Tumores malignos,2015,1169
Distrito de Coimbra,Diabetes,2016,166
Distrito de Coimbra,Doenças do aparelho circulatório,2016,1384
Distrito de Coimbra,Doenças do aparelho digestivo,2016,226
Distrito de Coimbra,Doenças do aparelho respiratório,2016,699
Distrito de Coimbra,SIDA,2016,6
Distrito de Coimbra,Suicídio,2016,63
Distrito de Coimbra,Tuberculose,2016,3
Distrito de Coimbra,Tumores malignos,2016,1143
Distrito de Coimbra,Diabetes,2017,162
Distrito de Coimbra,Doenças do aparelho circulatório,2017,1426
Distrito de Coimbra,Doenças do aparelho digestivo,2017,216
Distrito de Coimbra,Doenças do aparelho respiratório,2017,721
Distrito de Coimbra,SIDA,2017,9
Distrito de Coimbra,Suicídio,2017,36
Distrito de Coimbra,Tuberculose,2017,3
Distrito de Coimbra,Tumores malignos,2017,1235
Distrito de Coimbra,Diabetes,2018,179
Distrito de Coimbra,Doenças do aparelho circulatório,2018,1456
Distrito de Coimbra,Doenças do aparelho digestivo,2018,200
Distrito de Coimbra,Doenças do aparelho respiratório,2018,694
Distrito de Coimbra,SIDA,2018,9
Distrito de Coimbra,Suicídio,2018,40
Distrito de Coimbra,Tuberculose,2018,6
Distrito de Coimbra,Tumores malignos,2018,1228
Distrito de Coimbra,Diabetes,2019,153
Distrito de Coimbra,Doenças do aparelho circulatório,2019,1573
Distrito de Coimbra,Doenças do aparelho digestivo,2019,213
Distrito de Coimbra,Doenças do aparelho respiratório,2019,598
Distrito de Coimbra,SIDA,2019,6
Distrito de Coimbra,Suicídio,2019,41
Distrito de Coimbra,Tuberculose,2019,8
Distrito de Coimbra,Tumores malignos,2019,1233
Distrito de Coimbra,Diabetes,2020,179
Distrito de Coimbra,Doenças do aparelho circulatório,2020,1717
Distrito de Coimbra,Doenças do aparelho digestivo,2020,225
Distrito de Coimbra,Doenças do aparelho respiratório,2020,566
Distrito de Coimbra,SIDA,2020,4
Distrito de Coimbra,Suicídio,2020,35
Distrito de Coimbra,Tuberculose,2020,10
Distrito de Coimbra,Tumores malignos,2020,1227
Distrito de Coimbra,Diabetes,2021,163
Distrito de Coimbra,Doenças do aparelho circulatório,2021,1530
Distrito de Coimbra,Doenças do aparelho digestivo,2021,216
Distrito de Coimbra,Doenças do aparelho respiratório,2021,535
Distrito de Coimbra,SIDA,2021,9
Distrito de Coimbra,Suicídio,2021,37
Distrito de Coimbra,Tuberculose,2021,5
Distrito de Coimbra,Tumores malignos,2021,1209
Distrito de Coimbra,Diabetes,2022,188
Distrito de Coimbra,Doenças do aparelho circulatório,2022,1542
Distrito de Coimbra,Doenças do aparelho digestivo,2022,214
Distrito de Coimbra,Doenças do aparelho respiratório,2022,572
Distrito de Coimbra,SIDA,2022,4
Distrito de Coimbra,Suicídio,2022,45
Distrito de Coimbra,Tuberculose,2022,9
Distrito de Coimbra,Tumores malignos,2022,1232
Distrito de Coimbra,Diabetes,2023,142
Distrito de Coimbra,Doenças do aparelho circulatório,2023,1380
Distrito de Coimbra,Doenças do aparelho digestivo,2023,209
Distrito de Coimbra,Doenças do aparelho respiratório,2023,620
Distrito de Coimbra,SIDA,2023,6
Distrito de Coimbra,Suicídio,2023,42
Distrito de Coimbra,Tuberculose,2023,4
Distrito de Coimbra,Tumores malignos,2023,1221
Distrito de Faro,Diabetes,2001,126
Distrito de Faro,Doenças do aparelho circulatório,2001,1719
Distrito de Faro,Doenças do aparelho digestivo,2001,166
Distrito de Faro,Doenças do aparelho respiratório,2001,360
Distrito de Faro,SIDA,2001,36
Distrito de Faro,Suicídio,2001,56
Distrito de Faro,Tuberculose,2001,13
Distrito de Faro,Tumores malignos,2001,934
Distrito de Faro,Diabetes,2002,132
Distrito de Faro,Doenças do aparelho circulatório,2002,1670
Distrito de Faro,Doenças do aparelho digestivo,2002,174
Distrito de Faro,Doenças do aparelho respiratório,2002,382
Distrito de Faro,SIDA,2002,36
Distrito de Faro,Suicídio,2002,57
Distrito de Faro,Tuberculose,2002,13
Distrito de Faro,Tumores malignos,2002,946
Distrito de Faro,Diabetes,2003,139
Distrito de Faro,Doenças do aparelho circulatório,2003,1620
Distrito de Faro,Doenças do aparelho digestivo,2003,182
Distrito de Faro,Doenças do aparelho respiratório,2003,404
Distrito de Faro,SIDA,2003,35
Distrito de Faro,Suicídio,2003,59
Distrito de Faro,Tuberculose,2003,12
Distrito de Faro,Tumores malignos,2003,958
Distrito de Faro,Diabetes,2004,146
Distrito de Faro,Doenças do aparelho circulatório,2004,1571
Distrito de Faro,Doenças do aparelho digestivo,2004,190
Distrito de Faro,Doenças do aparelho respiratório,2004,426
Distrito de Faro,SIDA,2004,34
Distrito de Faro,Suicídio,2004,60
Distrito de Faro,Tuberculose,2004,12
Distrito de Faro,Tumores malignos,2004,970
Distrito de Faro,Diabetes,2005,152
Distrito de Faro,Doenças do aparelho circulatório,2005,1522
Distrito de Faro,Doenças do aparelho digestivo,2005,198
Distrito de Faro,Doenças do aparelho respiratório,2005,448
Distrito de Faro,SIDA,2005,34
Distrito de Faro,Suicídio,2005,62
Distrito de Faro,Tuberculose,2005,12
Distrito de Faro,Tumores malignos,2005,982
Distrito de Faro,Diabetes,2006,158
Distrito de Faro,Doenças do aparelho circulatório,2006,1473
Distrito de Faro,Doenças do aparelho digestivo,2006,206
Distrito de Faro,Doenças do aparelho respiratório,2006,470
Distrito de Faro,SIDA,2006,34
Distrito de Faro,Suicídio,2006,63
Distrito de Faro,Tuberculose,2006,11
Distrito de Faro,Tumores malignos,2006,994
Distrito de Faro,Diabetes,2007,165
Distrito de Faro,Doenças do aparelho circulatório,2007,1424
Distrito de Faro,Doenças do aparelho digestivo,2007,214
Distrito de Faro,Doenças do aparelho respiratório,2007,492
Distrito de Faro,SIDA,2007,33
Distrito de Faro,Suicídio,2007,64
Distrito de Faro,Tuberculose,2007,11
Distrito de Faro,Tumores malignos,2007,1006
Distrito de Faro,Diabetes,2008,172
Distrito de Faro,Doenças do aparelho circulatório,2008,1374
Distrito de Faro,Doenças do aparelho digestivo,2008,222
Distrito de Faro,Doenças do aparelho respiratório,2008,514
Distrito de Faro,SIDA,2008,32
Distrito de Faro,Suicídio,2008,66
Distrito de Faro,Tuberculose,2008,10
Distrito de Faro,Tumores malignos,2008,1018
Distrito de Faro,Diabetes,2009,178
Distrito de Faro,Doenças do aparelho circulatório,2009,1325
Distrito de Faro,Doenças do aparelho digestivo,2009,230
Distrito de Faro,Doenças do aparelho respiratório,2009,536
Distrito de Faro,SIDA,2009,32
Distrito de Faro,Suicídio,2009,67
Distrito de Faro,Tuberculose,2009,10
Distrito de Faro,Tumores malignos,2009,1030
Distrito de Faro,Diabetes,2010,139
Distrito de Faro,Doenças do aparelho circulatório,2010,1324
Distrito de Faro,Doenças do aparelho digestivo,2010,189
Distrito de Faro,Doenças do aparelho respiratório,2010,453
Distrito de Faro,SIDA,2010,25
Distrito de Faro,Suicídio,2010,74
Distrito de Faro,Tuberculose,2010,9
Distrito de Faro,Tumores malignos,2010,1037
Distrito de Faro,Diabetes,2011,146
Distrito de Faro,Doenças do aparelho circulatório,2011,1292
Distrito de Faro,Doenças do aparelho digestivo,2011,213
Distrito de Faro,Doenças do aparelho respiratório,2011,483
Distrito de Faro,SIDA,2011,36
Distrito de Faro,Suicídio,2011,55
Distrito de Faro,Tuberculose,2011,8
Distrito de Faro,Tumores malignos,2011,1144
Distrito de Faro,Diabetes,2012,159
Distrito de Faro,Doenças do aparelho circulatório,2012,1315
Distrito de Faro,Doenças do aparelho digestivo,2012,192
Distrito de Faro,Doenças do aparelho respiratório,2012,628
Distrito de Faro,SIDA,2012,21
Distrito de Faro,Suicídio,2012,60
Distrito de Faro,Tuberculose,2012,8
Distrito de Faro,Tumores malignos,2012,1147
Distrito de Faro,Diabetes,2013,164
Distrito de Faro,Doenças do aparelho circulatório,2013,1199
Distrito de Faro,Doenças do aparelho digestivo,2013,212
Distrito de Faro,Doenças do aparelho respiratório,2013,536
Distrito de Faro,SIDA,2013,31
Distrito de Faro,Suicídio,2013,79
Distrito de Faro,Tuberculose,2013,14
Distrito de Faro,Tumores malignos,2013,1148
Distrito de Faro,Diabetes,2014,147
Distrito de Faro,Doenças do aparelho circulatório,2014,1257
Distrito de Faro,Doenças do aparelho digestivo,2014,202
Distrito de Faro,Doenças do aparelho respiratório,2014,531
Distrito de Faro,SIDA,2014,19
Distrito de Faro,Suicídio,2014,73
Distrito de Faro,Tuberculose,2014,9
Distrito de Faro,Tumores malignos,2014,1171
Distrito de Faro,Diabetes,2015,159
Distrito de Faro,Doenças do aparelho circulatório,2015,1261
Distrito de Faro,Doenças do aparelho digestivo,2015,174
Distrito de Faro,Doenças do aparelho respiratório,2015,590
Distrito de Faro,SIDA,2015,24
Distrito de Faro,Suicídio,2015,69
Distrito de Faro,Tuberculose,2015,8
Distrito de Faro,Tumores malignos,2015,1154
Distrito de Faro,Diabetes,2016,139
Distrito de Faro,Doenças do aparelho circulatório,2016,1336
Distrito de Faro,Doenças do aparelho digestivo,2016,246
Distrito de Faro,Doenças do aparelho respiratório,2016,631
Distrito de Faro,SIDA,2016,21
Distrito de Faro,Suicídio,2016,59
Distrito de Faro,Tuberculose,2016,6
Distrito de Faro,Tumores malignos,2016,1251
Distrito de Faro,Diabetes,2017,139
Distrito de Faro,Doenças do aparelho circulatório,2017,1399
Distrito de Faro,Doenças do aparelho digestivo,2017,202
Distrito de Faro,Doenças do aparelho respiratório,2017,631
Distrito de Faro,SIDA,2017,17
Distrito de Faro,Suicídio,2017,79
Distrito de Faro,Tuberculose,2017,8
Distrito de Faro,Tumores malignos,2017,1251
Distrito de Faro,Diabetes,2018,141
Distrito de Faro,Doenças do aparelho circulatório,2018,1432
Distrito de Faro,Doenças do aparelho digestivo,2018,219
Distrito de Faro,Doenças do aparelho respiratório,2018,616
Distrito de Faro,SIDA,2018,15
Distrito de Faro,Suicídio,2018,72
Distrito de Faro,Tuberculose,2018,12
Distrito de Faro,Tumores malignos,2018,1164
Distrito de Faro,Diabetes,2019,124
Distrito de Faro,Doenças do aparelho circulatório,2019,1434
Distrito de Faro,Doenças do aparelho digestivo,2019,196
Distrito de Faro,Doenças do aparelho respiratório,2019,495
Distrito de Faro,SIDA,2019,16
Distrito de Faro,Suicídio,2019,65
Distrito de Faro,Tuberculose,2019,12
Distrito de Faro,Tumores malignos,2019,1279
Distrito de Faro,Diabetes,2020,140
Distrito de Faro,Doenças do aparelho circulatório,2020,1470
Distrito de Faro,Doenças do aparelho digestivo,2020,225
Distrito de Faro,Doenças do aparelho respiratório,2020,485
Distrito de Faro,SIDA,2020,13
Distrito de Faro,Suicídio,2020,74
Distrito de Faro,Tuberculose,2020,11
Distrito de Faro,Tumores malignos,2020,1250
Distrito de Faro,Diabetes,2021,122
Distrito de Faro,Doenças do aparelho circulatório,2021,1450
Distrito de Faro,Doenças do aparelho digestivo,2021,241
Distrito de Faro,Doenças do aparelho respiratório,2021,431
Distrito de Faro,SIDA,2021,13
Distrito de Faro,Suicídio,2021,75
Distrito de Faro,Tuberculose,2021,7
Distrito de Faro,Tumores malignos,2021,1254
Distrito de Faro,Diabetes,2022,126
Distrito de Faro,Doenças do aparelho circulatório,2022,1433
Distrito de Faro,Doenças do aparelho digestivo,2022,242
Distrito de Faro,Doenças do aparelho respiratório,2022,495
Distrito de Faro,SIDA,2022,10
Distrito de Faro,Suicídio,2022,76
Distrito de Faro,Tuberculose,2022,8
Distrito de Faro,Tumores malignos,2022,1257
Distrito de Faro,Diabetes,2023,115
Distrito de Faro,Doenças do aparelho circulatório,2023,1352
Distrito de Faro,Doenças do aparelho digestivo,2023,271
Distrito de Faro,Doenças do aparelho respiratório,2023,552
Distrito de Faro,SIDA,2023,10
Distrito de Faro,Suicídio,2023,69
Distrito de Faro,Tuberculose,2023,8
Distrito de Faro,Tumores malignos,2023,1316
Distrito de Leiria,Diabetes,2001,207
Distrito de Leiria,Doenças do aparelho circulatório,2001,1678
Distrito de Leiria,Doenças do aparelho digestivo,2001,215
Distrito de Leiria,Doenças do aparelho respiratório,2001,368
Distrito de Leiria,SIDA,2001,21
Distrito de Leiria,Suicídio,2001,56
Distrito de Leiria,Tuberculose,2001,10
Distrito de Leiria,Tumores malignos,2001,936
Distrito de Leiria,Diabetes,2002,215
Distrito de Leiria,Doenças do aparelho circulatório,2002,1655
Distrito de Leiria,Doenças do aparelho digestivo,2002,217
Distrito de Leiria,Doenças do aparelho respiratório,2002,392
Distrito de Leiria,SIDA,2002,20
Distrito de Leiria,Suicídio,2002,58
Distrito de Leiria,Tuberculose,2002,10
Distrito de Leiria,Tumores malignos,2002,956
Distrito de Leiria,Diabetes,2003,223
Distrito de Leiria,Doenças do aparelho circulatório,2003,1632
Distrito de Leiria,Doenças do aparelho digestivo,2003,220
Distrito de Leiria,Doenças do aparelho respiratório,2003,416
Distrito de Leiria,SIDA,2003,18
Distrito de Leiria,Suicídio,2003,60
Distrito de Leiria,Tuberculose,2003,10
Distrito de Leiria,Tumores malignos,2003,975
Distrito de Leiria,Diabetes,2004,231
Distrito de Leiria,Doenças do aparelho circulatório,2004,1609
Distrito de Leiria,Doenças do aparelho digestivo,2004,222
Distrito de Leiria,Doenças do aparelho respiratório,2004,440
Distrito de Leiria,SIDA,2004,17
Distrito de Leiria,Suicídio,2004,63
Distrito de Leiria,Tuberculose,2004,10
Distrito de Leiria,Tumores malignos,2004,994
Distrito de Leiria,Diabetes,2005,239
Distrito de Leiria,Doenças do aparelho circulatório,2005,1586
Distrito de Leiria,Doenças do aparelho digestivo,2005,224
Distrito de Leiria,Doenças do aparelho respiratório,2005,464
Distrito de Leiria,SIDA,2005,16
Distrito de Leiria,Suicídio,2005,65
Distrito de Leiria,Tuberculose,2005,10
