Distrito,Causa_Morte,Ano,Obitos
Distrito da Guarda,Doenças do aparelho digestivo,2015,133
Distrito da Guarda,Doenças do aparelho respiratório,2015,383
Distrito da Guarda,SIDA,2015,2
Distrito da Guarda,Suicídio,2015,16
Distrito da Guarda,Tuberculose,2015,5
Distrito da Guarda,Tumores malignos,2015,524
Distrito da Guarda,Diabetes,2016,98
Distrito da Guarda,Doenças do aparelho circulatório,2016,708
Distrito da Guarda,Doenças do aparelho digestivo,2016,153
Distrito da Guarda,Doenças do aparelho respiratório,2016,342
Distrito da Guarda,SIDA,2016,3
Distrito da Guarda,Suicídio,2016,12
Distrito da Guarda,Tuberculose,2016,3
Distrito da Guarda,Tumores malignos,2016,550
Distrito da Guarda,Diabetes,2017,87
Distrito da Guarda,Doenças do aparelho circulatório,2017,682
Distrito da Guarda,Doenças do aparelho digestivo,2017,126
Distrito da Guarda,Doenças do aparelho respiratório,2017,346
Distrito da Guarda,SIDA,2017,0
Distrito da Guarda,Suicídio,2017,19
Distrito da Guarda,Tuberculose,2017,2
Distrito da Guarda,Tumores malignos,2017,527
Distrito da Guarda,Diabetes,2018,102
Distrito da Guarda,Doenças do aparelho circulatório,2018,673
Distrito da Guarda,Doenças do aparelho digestivo,2018,140
Distrito da Guarda,Doenças do aparelho respiratório,2018,324
Distrito da Guarda,SIDA,2018,1
Distrito da Guarda,Suicídio,2018,15
Distrito da Guarda,Tuberculose,2018,5
Distrito da Guarda,Tumores malignos,2018,525
Distrito da Guarda,Diabetes,2019,71
Distrito da Guarda,Doenças do aparelho circulatório,2019,743
Distrito da Guarda,Doenças do aparelho digestivo,2019,132
Distrito da Guarda,Doenças do aparelho respiratório,2019,291
Distrito da Guarda,SIDA,2019,1
Distrito da Guarda,Suicídio,2019,17
Distrito da Guarda,Tuberculose,2019,2
Distrito da Guarda,Tumores malignos,2019,574
Distrito da Guarda,Diabetes,2020,86
Distrito da Guarda,Doenças do aparelho circulatório,2020,742
Distrito da Guarda,Doenças do aparelho digestivo,2020,120
Distrito da Guarda,Doenças do aparelho respiratório,2020,256
Distrito da Guarda,SIDA,2020,1
Distrito da Guarda,Suicídio,2020,13
Distrito da Guarda,Tuberculose,2020,5
Distrito da Guarda,Tumores malignos,2020,529
Distrito da Guarda,Diabetes,2021,70
Distrito da Guarda,Doenças do aparelho circulatório,2021,680
Distrito da Guarda,Doenças do aparelho digestivo,2021,136
Distrito da Guarda,Doenças do aparelho respiratório,2021,255
Distrito da Guarda,SIDA,2021,3
Distrito da Guarda,Suicídio,2021,6
Distrito da Guarda,Tuberculose,2021,0
Distrito da Guarda,Tumores malignos,2021,489
Distrito da Guarda,Diabetes,2022,77
Distrito da Guarda,Doenças do aparelho circulatório,2022,725
Distrito da Guarda,Doenças do aparelho digestivo,2022,114
Distrito da Guarda,Doenças do aparelho respiratório,2022,322
Distrito da Guarda,SIDA,2022,1
Distrito da Guarda,Suicídio,2022,18
Distrito da Guarda,Tuberculose,2022,2
Distrito da Guarda,Tumores malignos,2022,486
Distrito da Guarda,Diabetes,2023,74
Distrito da Guarda,Doenças do aparelho circulatório,2023,598
Distrito da Guarda,Doenças do aparelho digestivo,2023,131
Distrito da Guarda,Doenças do aparelho respiratório,2023,250
Distrito da Guarda,SIDA,2023,0
Distrito da Guarda,Suicídio,2023,14
Distrito da Guarda,Tuberculose,2023,2
Distrito da Guarda,Tumores malignos,2023,536
Distrito de Aveiro,Diabetes,2001,259
Distrito de Aveiro,Doenças do aparelho circulatório,2001,2281
Distrito de Aveiro,Doenças do aparelho digestivo,2001,250
Distrito de Aveiro,Doenças do aparelho respiratório,2001,546
Distrito de Aveiro,SIDA,2001,8
Distrito de Aveiro,Suicídio,2001,17
Distrito de Aveiro,Tuberculose,2001,11
Distrito de Aveiro,Tumores malignos,2001,1259
Distrito de Aveiro,Diabetes,2002,264
Distrito de Aveiro,Doenças do aparelho circulatório,2002,2228
Distrito de Aveiro,Doenças do aparelho digestivo,2002,254
Distrito de Aveiro,Doenças do aparelho respiratório,2002,577
Distrito de Aveiro,SIDA,2002,9
Distrito de Aveiro,Suicídio,2002,20
Distrito de Aveiro,Tuberculose,2002,11
Distrito de Aveiro,Tumores malignos,2002,1283
Distrito de Aveiro,Diabetes,2003,268
Distrito de Aveiro,Doenças do aparelho circulatório,2003,2176
Distrito de Aveiro,Doenças do aparelho digestivo,2003,258
Distrito de Aveiro,Doenças do aparelho respiratório,2003,608
Distrito de Aveiro,SIDA,2003,10
Distrito de Aveiro,Suicídio,2003,23
Distrito de Aveiro,Tuberculose,2003,11
Distrito de Aveiro,Tumores malignos,2003,1306
Distrito de Aveiro,Diabetes,2004,273
Distrito de Aveiro,Doenças do aparelho circulatório,2004,2123
Distrito de Aveiro,Doenças do aparelho digestivo,2004,262
Distrito de Aveiro,Doenças do aparelho respiratório,2004,638
Distrito de Aveiro,SIDA,2004,11
Distrito de Aveiro,Suicídio,2004,26
Distrito de Aveiro,Tuberculose,2004,11
Distrito de Aveiro,Tumores malignos,2004,1330
Distrito de Aveiro,Diabetes,2005,278
Distrito de Aveiro,Doenças do aparelho circulatório,2005,2070
Distrito de Aveiro,Doenças do aparelho digestivo,2005,266
Distrito de Aveiro,Doenças do aparelho respiratório,2005,669
Distrito de Aveiro,SIDA,2005,12
Distrito de Aveiro,Suicídio,2005,30
Distrito de Aveiro,Tuberculose,2005,10
Distrito de Aveiro,Tumores malignos,2005,1354
Distrito de Aveiro,Diabetes,2006,283
Distrito de Aveiro,Doenças do aparelho circulatório,2006,2018
Distrito de Aveiro,Doenças do aparelho digestivo,2006,269
Distrito de Aveiro,Doenças do aparelho respiratório,2006,700
Distrito de Aveiro,SIDA,2006,12
Distrito de Aveiro,Suicídio,2006,33
Distrito de Aveiro,Tuberculose,2006,10
Distrito de Aveiro,Tumores malignos,2006,1377
Distrito de Aveiro,Diabetes,2007,288
Distrito de Aveiro,Doenças do aparelho circulatório,2007,1965
Distrito de Aveiro,Doenças do aparelho digestivo,2007,273
Distrito de Aveiro,Doenças do aparelho respiratório,2007,730
Distrito de Aveiro,SIDA,2007,13
Distrito de Aveiro,Suicídio,2007,36
Distrito de Aveiro,Tuberculose,2007,10
Distrito de Aveiro,Tumores malignos,2007,1401
Distrito de Aveiro,Diabetes,2008,292
Distrito de Aveiro,Doenças do aparelho circulatório,2008,1913
Distrito de Aveiro,Doenças do aparelho digestivo,2008,277
