"Territórios","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Valongo",86340,87390,88360,89206,90031,90865,91693,92417,93053,93632,94008,94031,93852,93630,93505,93528,93634,93850,94201,94719,95834,97530,99288,100815
"Vila do Conde",74590,75317,75984,76568,77111,77662,78206,78668,79051,79411,79738,79824,79688,79547,79504,79647,79864,80101,80467,80969,81659,82807,84202,85372
"Vila Nova de Gaia",289354,291668,293661,295263,296737,298273,299748,300837,301661,302313,302999,303063,302295,301457,300899,300911,301428,302341,303755,304810,305429,307224,309882,312104
"Boticas",6392,6347,6293,6230,6163,6089,6011,5933,5871,5807,5699,5588,5507,5428,5355,5292,5238,5185,5124,5053,4974,4917,4892,4859
"Chaves",43563,43527,43438,43287,43084,42856,42599,42289,41949,41561,41122,40626,40110,39638,39202,38798,38444,38152,37893,37759,37583,37376,37373,37371
"Montalegre",12669,12495,12294,12072,11837,11610,11401,11172,10941,10705,10439,10224,10060,9897,9750,9615,9515,9433,9353,9304,9247,9172,9141,9121
"Ribeira de Pena",7374,7313,7246,7176,7091,7006,6933,6852,6742,6622,6498,6382,6298,6221,6160,6109,6058,6008,5967,5923,5875,5848,5849,5851
"Valpaços",19415,19227,19008,18785,18528,18269,18017,17740,17436,17104,16806,16557,16291,16030,15791,15561,15334,15121,14943,14816,14678,14571,14574,14561
"Vila Pouca de Aguiar",14929,14842,14707,14538,14366,14185,13975,13752,13540,13323,13105,12903,12717,12526,12365,12227,12092,11985,11905,11869,11830,11773,11763,11796
"Amarante",59507,59478,59350,59099,58781,58435,58038,57590,57133,56615,56125,55651,55041,54428,53914,53473,53075,52720,52434,52334,52205,52067,52154,52202
"Baião",22275,22153,22028,21888,21734,21563,21388,21194,20970,20707,20335,19928,19591,19268,18958,18667,18379,18123,17912,17745,17553,17357,17240,17145
"Castelo de Paiva",17338,17314,17306,17278,17218,17172,17130,17056,16956,16825,16714,16580,16420,16275,16130,15991,15880,15789,15701,15631,15525,15421,15420,15422
"Celorico de Basto",20439,20490,20493,20448,20390,20366,20353,20312,20258,20181,19995,19702,19378,19033,18714,18473,18233,17980,17792,17736,17694,17604,17615,17646
"Cinfães",22353,22224,22062,21870,21681,21493,21312,21106,20861,20601,20302,19995,19697,19381,19073,18812,18560,18315,18090,17908,17769,17630,17496,17363
"Felgueiras",57641,57954,58167,58291,58395,58485,58536,58497,58395,58231,58049,57807,57451,57074,56748,56548,56416,56307,56233,56127,55849,55535,55423,55326
"Lousada",44845,45289,45648,45959,46262,46566,46865,47084,47257,47381,47465,47431,47235,47044,46918,46869,46908,46994,47118,47363,47578,47780,48120,48481
"Marco de Canaveses",52460,52798,53059,53224,53338,53463,53609,53659,53624,53559,53342,52897,52303,51698,51154,50688,50294,49937,49659,49640,49637,49505,49518,49539
"Paços de Ferreira",53137,53676,54146,54544,54919,55295,55630,55903,56109,56273,56449,56457,56234,55993,55825,55742,55684,55666,55723,55793,55784,55813,55932,56026
"Penafiel",71828,72103,72323,72529,72684,72761,72805,72752,72602,72425,72253,71942,71459,70940,70520,70236,70013,69875,69802,69846,69883,69925,70160,70371
