Territórios,Ano,Valor
Distrito da Guarda,2001,66229
Distrito da Guarda,2002,66015
Distrito da Guarda,2003,65841
Distrito da Guarda,2004,65578
Distrito da Guarda,2005,65380
Distrito da Guarda,2006,65350
Distrito da Guarda,2007,65464
Distrito da Guarda,2008,65486
Distrito da Guarda,2009,65393
Distrito da Guarda,2010,65250
Distrito da Guarda,2011,65036
Distrito da Guarda,2012,64890
Distrito da Guarda,2013,64514
Distrito da Guarda,2014,63801
Distrito da Guarda,2015,63066
Distrito da Guarda,2016,62239
Distrito da Guarda,2017,61235
Distrito da Guarda,2018,60129
Distrito da Guarda,2019,59031
Distrito da Guarda,2020,58052
Distrito da Guarda,2021,57054
Distrito da Guarda,2022,55985
Distrito da Guarda,2023,55195
Distrito da Guarda,2024,54739
Distrito de Aveiro,2001,271789
Distrito de Aveiro,2002,276285
Distrito de Aveiro,2003,280441
Distrito de Aveiro,2004,284362
Distrito de Aveiro,2005,288340
Distrito de Aveiro,2006,292761
Distrito de Aveiro,2007,297370
Distrito de Aveiro,2008,301473
Distrito de Aveiro,2009,305371
Distrito de Aveiro,2010,308865
Distrito de Aveiro,2011,311054
Distrito de Aveiro,2012,312504
Distrito de Aveiro,2013,312829
Distrito de Aveiro,2014,311914
Distrito de Aveiro,2015,311087
Distrito de Aveiro,2016,310374
Distrito de Aveiro,2017,309530
Distrito de Aveiro,2018,308579
Distrito de Aveiro,2019,307855
Distrito de Aveiro,2020,307078
Distrito de Aveiro,2021,306503
Distrito de Aveiro,2022,306673
Distrito de Aveiro,2023,307780
Distrito de Aveiro,2024,309686
Distrito de Beja,2001,59704
Distrito de Beja,2002,59471
Distrito de Beja,2003,59358
Distrito de Beja,2004,59316
Distrito de Beja,2005,59297
Distrito de Beja,2006,59371
Distrito de Beja,2007,59674
Distrito de Beja,2008,59997
Distrito de Beja,2009,60182
Distrito de Beja,2010,60411
Distrito de Beja,2011,60696
Distrito de Beja,2012,60870
Distrito de Beja,2013,60853
Distrito de Beja,2014,60650
Distrito de Beja,2015,60494
Distrito de Beja,2016,60348
Distrito de Beja,2017,60070
Distrito de Beja,2018,59824
Distrito de Beja,2019,59783
Distrito de Beja,2020,59881
Distrito de Beja,2021,60085
Distrito de Beja,2022,60409
Distrito de Beja,2023,60786
Distrito de Beja,2024,61166
Distrito de Braga,2001,296456
Distrito de Braga,2002,303424
Distrito de Braga,2003,310057
Distrito de Braga,2004,316693
Distrito de Braga,2005,323583
Distrito de Braga,2006,330915
Distrito de Braga,2007,338787
Distrito de Braga,2008,346361
Distrito de Braga,2009,353481
Distrito de Braga,2010,360007
Distrito de Braga,2011,364924
Distrito de Braga,2012,368705
Distrito de Braga,2013,371346
Distrito de Braga,2014,372491
Distrito de Braga,2015,373666
Distrito de Braga,2016,374839
Distrito de Braga,2017,375530
Distrito de Braga,2018,376154
Distrito de Braga,2019,376722
Distrito de Braga,2020,376931
Distrito de Braga,2021,375854
Distrito de Braga,2022,375130
Distrito de Braga,2023,375789
Distrito de Braga,2024,375945
Distrito de Bragança,2001,56440
Distrito de Bragança,2002,56010
Distrito de Bragança,2003,55617
Distrito de Bragança,2004,55310
Distrito de Bragança,2005,55067
Distrito de Bragança,2006,54888
Distrito de Bragança,2007,54789
Distrito de Bragança,2008,54605
Distrito de Bragança,2009,54407
Distrito de Bragança,2010,54248
Distrito de Bragança,2011,54188
Distrito de Bragança,2012,54192
Distrito de Bragança,2013,54060
Distrito de Bragança,2014,53695
Distrito de Bragança,2015,53190
Distrito de Bragança,2016,52574
Distrito de Bragança,2017,51923
Distrito de Bragança,2018,51178
Distrito de Bragança,2019,50241
Distrito de Bragança,2020,49229
Distrito de Bragança,2021,48224
Distrito de Bragança,2022,47418
Distrito de Bragança,2023,46940
Distrito de Bragança,2024,46514
Distrito de Castelo Branco,2001,77385
Distrito de Castelo Branco,2002,77281
Distrito de Castelo Branco,2003,77161
Distrito de Castelo Branco,2004,77051
Distrito de Castelo Branco,2005,77149
Distrito de Castelo Branco,2006,77403
Distrito de Castelo Branco,2007,77765
Distrito de Castelo Branco,2008,78094
Distrito de Castelo Branco,2009,78300
Distrito de Castelo Branco,2010,78493
Distrito de Castelo Branco,2011,78632
Distrito de Castelo Branco,2012,78676
Distrito de Castelo Branco,2013,78405
Distrito de Castelo Branco,2014,77799
Distrito de Castelo Branco,2015,77152
Distrito de Castelo Branco,2016,76428
Distrito de Castelo Branco,2017,75462
Distrito de Castelo Branco,2018,74367
Distrito de Castelo Branco,2019,73312
Distrito de Castelo Branco,2020,72525
