Territórios,Ano,Valor
Distrito da Guarda,2001,35813
Distrito da Guarda,2002,34462
Distrito da Guarda,2003,33197
Distrito da Guarda,2004,31975
Distrito da Guarda,2005,30928
Distrito da Guarda,2006,30093
Distrito da Guarda,2007,29277
Distrito da Guarda,2008,28481
Distrito da Guarda,2009,27742
Distrito da Guarda,2010,26824
Distrito da Guarda,2011,25836
Distrito da Guarda,2012,24913
Distrito da Guarda,2013,24012
Distrito da Guarda,2014,23224
Distrito da Guarda,2015,22596
Distrito da Guarda,2016,22024
Distrito da Guarda,2017,21471
Distrito da Guarda,2018,20913
Distrito da Guarda,2019,20407
Distrito da Guarda,2020,19969
Distrito da Guarda,2021,19553
Distrito da Guarda,2022,19174
Distrito da Guarda,2023,18946
Distrito da Guarda,2024,18765
Distrito de Aveiro,2001,171166
Distrito de Aveiro,2002,168068
Distrito de Aveiro,2003,165239
Distrito de Aveiro,2004,162248
Distrito de Aveiro,2005,159449
Distrito de Aveiro,2006,157039
Distrito de Aveiro,2007,154578
Distrito de Aveiro,2008,152225
Distrito de Aveiro,2009,149870
Distrito de Aveiro,2010,146983
Distrito de Aveiro,2011,144138
Distrito de Aveiro,2012,141675
Distrito de Aveiro,2013,138967
Distrito de Aveiro,2014,136317
Distrito de Aveiro,2015,134000
Distrito de Aveiro,2016,131870
Distrito de Aveiro,2017,129992
Distrito de Aveiro,2018,128391
Distrito de Aveiro,2019,127033
Distrito de Aveiro,2020,125335
Distrito de Aveiro,2021,123624
Distrito de Aveiro,2022,122703
Distrito de Aveiro,2023,122477
Distrito de Aveiro,2024,122373
Distrito de Beja,2001,31590
Distrito de Beja,2002,31000
Distrito de Beja,2003,30427
Distrito de Beja,2004,29913
Distrito de Beja,2005,29541
Distrito de Beja,2006,29215
Distrito de Beja,2007,28898
Distrito de Beja,2008,28587
Distrito de Beja,2009,28250
Distrito de Beja,2010,27915
Distrito de Beja,2011,27537
Distrito de Beja,2012,27144
Distrito de Beja,2013,26730
Distrito de Beja,2014,26323
Distrito de Beja,2015,26012
Distrito de Beja,2016,25749
Distrito de Beja,2017,25464
Distrito de Beja,2018,25135
Distrito de Beja,2019,24889
Distrito de Beja,2020,24723
Distrito de Beja,2021,24679
Distrito de Beja,2022,24839
Distrito de Beja,2023,25061
Distrito de Beja,2024,25170
Distrito de Braga,2001,226783
Distrito de Braga,2002,222880
Distrito de Braga,2003,218863
Distrito de Braga,2004,214796
Distrito de Braga,2005,211117
Distrito de Braga,2006,207908
Distrito de Braga,2007,204643
Distrito de Braga,2008,201040
Distrito de Braga,2009,197331
Distrito de Braga,2010,193210
Distrito de Braga,2011,189124
Distrito de Braga,2012,185210
Distrito de Braga,2013,180888
Distrito de Braga,2014,176568
Distrito de Braga,2015,172866
Distrito de Braga,2016,169782
Distrito de Braga,2017,166931
Distrito de Braga,2018,164382
Distrito de Braga,2019,162182
Distrito de Braga,2020,159760
Distrito de Braga,2021,156578
