;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Arcos de Valdevez;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;? //;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Caminha;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;? //;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Melgaço;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;? //;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Monção;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;? //;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Paredes de Coura;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;? //;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Ponte da Barca;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;? //;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Ponte de Lima; 204; 233;//; 225; 245; 248; 213; 217; 235; 249; 253; 258; 0; 0; 0;Pro ;Pro ; 17; 18;//; 26; 41; 40; 26; 30; 36; 40; 44; 42; 0; 0; 0;Pro ;Pro ; 5; 73;//; 78; 79; 83; 82; 79; 82; 88; 89; 91; 0; 0; 0;Pro ;Pro ; 56; 1;//; 55;? //; 70; 56; 62; 66; 68; 67; 65; 0; 0; 0;Pro ;Pro ; 14; 22;//; 21; 20; 19; 18; 13; 17; 19; 18; 24; 0; 0; 0;Pro ;Pro ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Valença;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;? //;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Viana do Castelo; 1 267; 1 231; 1 603; 1 399; 1 603; 1 627; 1 558; 1 432; 1 457; 1 479; 1 519; 1 674; 1 917; 2 148; 2 169;Pro 2 171;Pro 2 170; 166; 167; 232; 222; 307; 336; 310; 263; 288; 296; 316; 389; 365; 363; 379;Pro 418;Pro 440; 366; 450; 551; 483; 528; 524; 516; 496; 528; 543; 569; 586; 688; 763; 786;Pro 773;Pro 759; 58;//; 416; 398;? //; 382; 376; 337; 315; 315; 306; 337; 439; 561; 531;Pro 516;Pro 504; 52; 59; 81; 60; 80; 87; 84; 76; 75; 71; 72; 82; 106; 117; 122;Pro 120;Pro 128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Vila Nova de Cerveira;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;? //;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS III;Cávado; 2 013; 2 164; 2 477; 2 488; 2 563; 2 604; 2 670; 2 556; 2 652; 2 740; 2 767; 2 917; 3 528; 3 857; 3 819;Pro 3 916;Pro 3 981; 388; 364; 593; 526; 556; 582; 590; 582; 442; 471; 505; 548; 861; 899; 898;Pro 936;Pro 983; 737; 636; 804; 789; 896; 876; 862; 808; 909; 959; 872; 1 011; 1 192; 1 332; 1 306;Pro 1 305;Pro 1 359; 9; 143; 669; 761;?  536; 688; 743; 703; 777; 773; 782; 771; 848; 966; 935;Pro 996;Pro 963; 89; 101; 154; 118; 133; 142; 143; 139; 162; 168; 213; 179; 191; 209; 212;Pro 211;Pro 212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Amares;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;? //;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Barcelos; 454; 452; 471; 488; 503; 491; 474; 466; 500; 503; 499; 509; 548; 629; 620;Pro 622;Pro 615; 93; 66; 66; 66; 75; 75; 68; 76; 81; 92; 97; 98; 109; 117; 103;Pro 107;Pro 108; 148; 20; 168; 177; 177; 172; 169; 169; 177; 174; 177; 181; 200; 243; 237;Pro 235;Pro 235; 9; 143; 141; 148;? //; 146; 138; 134; 146; 141; 125; 126; 142; 165; 163;Pro 163;Pro 159; 18; 20; 23; 23; 24; 23; 23; 20; 27; 27; 27; 28; 27; 30; 36;Pro 36;Pro 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Braga; 1 559; 1 712; 2 006; 2 000; 2 060; 2 113; 2 196; 2 090; 2 152; 2 237; 2 268; 2 408; 2 980; 3 228; 3 199;Pro 3 294;Pro 3 366; 295; 298; 527; 460; 481; 507; 522; 506; 361; 379; 408; 450; 752; 782; 795;Pro 829;Pro 875; 589; 616; 636; 612; 719; 704; 693; 639; 732; 785; 695; 830; 992; 1 089; 1 069;Pro 1 070;Pro 1 124;//;//; 528; 613;?  536; 542; 605; 569; 631; 632; 657; 645; 706; 801; 772;Pro 833;Pro 804; 71; 81; 131; 95; 109; 119; 120; 119; 135; 141; 186; 151; 164; 179; 176;Pro 175;Pro 175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Esposende;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;? //;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Terras de Bouro;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;? //;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Vila Verde;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;? //;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
