;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Alfândega da Fé;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;? //;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Bragança; 508; 498; 1 237; 641; 680; 586; 606; 529; 640; 575; 658; 687; 1 340; 1 399; 1 375;Pro 1 414;Pro 1 406; 54; 62; 114; 63; 84; 86; 101; 85; 110; 102; 116; 114; 181; 175; 160;Pro 157;Pro 170; 202; 58; 469; 253; 223; 237; 227; 213; 236; 239; 260; 263; 497; 514; 525;Pro 564;Pro 545; 19; 147; 365; 184;?  109; 117; 153; 136; 107; 99; 165; 166; 334; 378; 361;Pro 365;Pro 365; 22; 24; 81; 36; 32; 33; 33; 31; 46; 42; 47; 49; 105; 115; 119;Pro 119;Pro 120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Macedo de Cavaleiros; 201; 216;//; 275; 265; 262; 239; 247; 237; 195; 253; 233; 0; 0; 0;Pro ;Pro ; 13; 14;//; 13; 14; 17; 20; 20; 24; 20; 22; 15; 0; 0; 0;Pro ;Pro ; 77; 10;//; 99; 83; 90; 78; 83; 73; 74; 89; 82; 0; 0; 0;Pro ;Pro ;//; 69;//; 98;?  49; 64; 77; 81; 47; 41; 82; 78; 0; 0; 0;Pro ;Pro ; 16; 19;//; 26; 23; 22; 23; 22; 23; 21; 23; 23; 0; 0; 0;Pro ;Pro ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Miranda do Douro;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;? //;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Mirandela; 307; 312;//; 325; 328; 293; 288; 270; 296; 280; 298; 296; 0; 0; 0;Pro ;Pro ; 36; 31;//; 39; 35; 36; 39; 32; 39; 32; 41; 39; 0; 0; 0;Pro ;Pro ; 116; 114;//; 112; 106; 106; 104; 96; 103; 98; 108; 110; 0; 0; 0;Pro ;Pro ;//;//;//; 79;?  45; 46; 57; 56; 45; 40; 57; 60; 0; 0; 0;Pro ;Pro ; 22; 21;//; 26; 28; 27; 28; 27; 32; 34; 33; 32; 0; 0; 0;Pro ;Pro ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Mogadouro;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;? //;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Vila Flor;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;? //;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Vimioso;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;? //;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Vinhais;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;? //;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS II;Centro; 16 778; 17 381; 18 853; 18 852; 18 301; 18 312; 18 289; 17 985; 18 552; 18 746; 19 356; 19 778; 20 148; 21 409; 21 785;Pro 21 754;Pro 21 679; 2 587; 2 745; 3 209; 3 220; 3 304; 3 272; 3 504; 3 514; 3 598; 3 759; 3 769; 3 900; 3 765; 3 808; 3 892;Pro 3 870;Pro 3 834; 5 536; 5 821; 6 610; 6 414; 6 453; 6 515; 6 435; 6 401; 6 684; 6 819; 7 044; 7 200; 7 509; 8 053; 8 236;Pro 8 239;Pro 8 203; 252; 115; 4 302; 4 670;?  1 298; 3 388; 3 630; 3 993; 4 308; 4 111; 4 285; 4 329; 4 721; 5 250; 5 278;Pro 5 232;Pro 5 168; 1 094; 1 092; 1 247; 1 245; 1 245; 1 247; 1 223; 1 246; 1 241; 1 276; 1 312; 1 361; 1 391; 1 477; 1 507;Pro 1 515;Pro 1 549;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS III;Região de Aveiro; 1 601; 1 897; 2 067; 2 006; 1 969; 1 894; 1 909; 1 853; 1 755; 1 792; 1 998; 1 989; 1 983; 2 006; 2 068;Pro 2 055;Pro 2 053; 240; 283; 314; 335; 307; 323; 355; 363; 341; 362; 396; 416; 383; 387; 388;Pro 345;Pro 344; 567; 604; 767; 733; 755; 714; 706; 732; 700; 706; 762; 762; 777; 781; 833;Pro 831;Pro 833; 10; 36; 501; 478;?  326; 445; 441; 394; 387; 383; 454; 428; 455; 463; 462;Pro 481;Pro 483; 116; 128; 131; 132; 125; 118; 117; 116; 105; 120; 141; 134; 130; 133; 135;Pro 137;Pro 137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Águeda; 236; 236; 267; 235; 219; 190; 157; 155; 133; 136; 127; 125; 0; 0; 0;Pro ;Pro ; 29; 27; 35; 28; 19; 17; 15; 16; 6; 7; 3; 6; 0; 0; 0;Pro ;Pro ; 77; 75; 97; 94; 99; 86; 67; 67; 59; 59; 55; 53; 0; 0; 0;Pro ;Pro ;//;//; 66; 46;? //; 42; 37; 39; 38; 41; 40; 38; 0; 0; 0;Pro ;Pro ; 22; 26; 23; 22; 17; 14; 11; 11; 8; 9; 9; 8; 0; 0; 0;Pro ;Pro ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Albergaria-a-Velha;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;? //;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Anadia; 137; 171; 138; 136; 131; 119; 121; 118;//;//;//;//;//;//;//;//;//; 12; 18; 8; 8; 7; 7; 7; 19;//;//;//;//;//;//;//;//;//; 41; 55; 39; 39; 41; 35; 37; 37;//;//;//;//;//;//;//;//;//; 4;//; 27; 25;? //; 44; 43; 41;//;//;//;//;//;//;//;//;//; 9; 11; 12; 12; 12; 9; 10; 12;//;//;//;//;//;//;//;//;//;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Aveiro; 873; 1 077; 1 392; 1 374; 1 378; 1 326; 1 347; 1 327; 1 431; 1 466; 1 660; 1 608; 1 799; 1 806; 1 855;Pro 1 836;Pro 1 847; 159; 178; 242; 272; 257; 266; 295; 307; 316; 334; 374; 378; 363; 364; 363;Pro 320;Pro 320; 352; 392; 554; 523; 545; 525; 525; 554; 571; 575; 616; 632; 715; 713; 760;Pro 758;Pro 764;//;//; 348; 332;?  326; 288; 272; 233; 297; 294; 368; 318; 413; 416; 415;Pro 430;Pro 432; 58; 61; 75; 75; 75; 72; 73; 71; 81; 95; 116; 104; 113; 114; 116;Pro 119;Pro 121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Estarreja; 156; 168; 120; 117; 110; 79; 92; 87; 71; 69; 71; 62; 0; 0; 0;Pro ;Pro ; 19; 25; 11; 10; 9; 6; 9; 8; 6; 6; 6; 2; 0; 0; 0;Pro ;Pro ; 37; 8; 28; 30; 29; 23; 27; 27; 25; 25; 27; 24; 0; 0; 0;Pro ;Pro ;//; 36; 21; 39;? //; 26; 33; 31; 23; 23; 23; 22; 0; 0; 0;Pro ;Pro ; 13; 14; 11; 11; 9; 6; 7; 7; 5; 5; 5; 5; 0; 0; 0;Pro ;Pro ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Ílhavo;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;? //;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Murtosa;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;? //;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Oliveira do Bairro;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;? //;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Ovar; 199; 245; 150; 144; 131; 180; 192; 166; 120; 121; 140; 194; 184; 200; 213;Pro 219;Pro 206; 21; 35; 18; 17; 15; 27; 29; 13; 13; 15; 13; 30; 20; 23; 25;Pro 25;Pro 24; 60; 74; 49; 47; 41; 45; 50; 47; 45; 47; 64; 53; 62; 68; 73;Pro 73;Pro 69; 6;//; 39; 36;? //; 45; 56; 50; 29; 25; 23; 50; 42; 47; 47;Pro 51;Pro 51; 14; 16; 10; 12; 12; 17; 16; 15; 11; 11; 11; 17; 17; 19; 19;Pro 18;Pro 16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Sever do Vouga;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;? //;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Vagos;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;? //;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS III;Região de Coimbra; 9 184; 9 267; 9 839; 9 788; 9 812; 9 383; 9 324; 8 927; 9 337; 9 424; 9 570; 9 711; 9 992; 10 669; 10 796;Pro 10 699;Pro 10 677; 1 671; 1 753; 1 850; 1 852; 1 970; 1 797; 1 952; 1 892; 1 927; 1 950; 1 995; 2 017; 2 009; 2 005; 2 040;Pro 2 055;Pro 2 063; 2 743; 2 900; 3 277; 3 128; 3 348; 3 280; 3 194; 3 087; 3 275; 3 364; 3 442; 3 491; 3 642; 3 940; 4 010;Pro 3 985;Pro 3 973; 196; 34; 2 157; 2 381;?  34; 2 191; 2 099; 1 964; 2 091; 2 030; 1 960; 2 002; 2 268; 2 607; 2 589;Pro 2 505;Pro 2 462; 674; 612; 662; 689; 675; 657; 640; 617; 640; 651; 649; 672; 692; 726; 739;Pro 736;Pro 750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Arganil;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;? //;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Cantanhede; 153; 155; 273; 293; 291; 252; 244; 242; 250; 260; 272; 291; 363; 382; 400;Pro 399;Pro 404; 12; 14; 19; 41; 44; 21; 24; 23; 23; 25; 28; 30; 29; 28; 36;Pro 42;Pro 36; 8; 43; 43; 78; 78; 82; 78; 86; 90; 100; 106; 114; 120; 122; 124;Pro 122;Pro 127; 41; 7; 91; 58;?  34; 44; 43; 41; 44; 43; 44; 53; 103; 125; 126;Pro 117;Pro 117; 14; 11; 35; 38; 39; 30; 28; 26; 26; 25; 25; 26; 39; 42; 42;Pro 43;Pro 44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Coimbra; 8 187; 8 247; 8 972; 8 801; 8 818; 8 555; 8 535; 8 135; 8 514; 8 575; 8 700; 8 788; 8 963; 9 579; 9 658;Pro 9 549;Pro 9 531; 1 559; 1 633; 1 737; 1 710; 1 822; 1 662; 1 810; 1 758; 1 784; 1 800; 1 828; 1 852; 1 834; 1 831; 1 859;Pro 1 865;Pro 1 878; 2 471; 2 618; 3 038; 2 835; 3 034; 3 012; 2 942; 2 819; 2 997; 3 067; 3 140; 3 170; 3 292; 3 568; 3 620;Pro 3 589;Pro 3 573; 148;//; 1 944; 2 141;? //; 2 013; 1 941; 1 801; 1 924; 1 876; 1 807; 1 826; 2 018; 2 321; 2 296;Pro 2 216;Pro 2 180; 608; 543; 574; 603; 585; 579; 565; 544; 565; 576; 576; 590; 598; 623; 632;Pro 631;Pro 639;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Condeixa-a-Nova;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;? //;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Figueira da Foz; 568; 588; 594; 553; 585; 576; 545; 550; 573; 589; 598; 632; 666; 708; 738;Pro 751;Pro 742; 89; 95; 94; 98; 102; 114; 118; 111; 120; 125; 139; 135; 146; 146; 145;Pro 148;Pro 149; 191; 187; 196; 175; 197; 186; 174; 182; 188; 197; 196; 207; 230; 250; 266;Pro 274;Pro 273;//;//; 122; 128;? //; 134; 115; 122; 123; 111; 109; 123; 147; 161; 167;Pro 172;Pro 165; 49; 52; 53; 45; 50; 48; 47; 47; 49; 50; 48; 56; 55; 61; 65;Pro 62;Pro 67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Góis;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;? //;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
