;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Santa Marta de Penaguião; 5; 5; 8; 9; 3; 7; 3; 1; 7; 3; 3; 3; 1; 19; 22; 20; 29; 23; 25; 22; 16; 22; 17; 21; 19; 26; 38; 41; 27; 26; 37; 37; 44; 35; 37; 30; 41; 34; 20; 1; 0; 0;,,,; 0; 0; 1; 2; 0; 2; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 8; 15; 12; 11; 14; 5; 6; 13; 5; 8; 12; 10; 19; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 12; 11; 1;,,,; 4; 9; 3; 4; 7; 6; 3; 2; 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;São João da Pesqueira; 9; 5; 3; 3; 5;,,,; 1; 2; 3; 4; 1; 2; 2; 20; 21; 24; 16; 14; 23; 22; 20; 21; 25; 23; 16; 20; 47; 35; 30; 26; 39; 30; 23; 33; 28; 27; 22; 19; 25; 0; 1; 1;,,,; 2; 1; 1; 1; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1;,,,; 0; 15; 16; 20; 14; 8; 23; 17; 12; 16; 9; 9; 13; 10; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 6; 6; 5; 4; 6; 4; 4; 4; 1; 6; 4; 6;,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Sernancelhe;,,,; 3; 4; 2; 6; 4; 4;,,,; 2; 6; 6; 6; 7; 14; 17; 20; 16; 16; 14; 19; 17; 20; 13; 9; 19; 18; 19; 28; 23; 15; 26; 22; 26; 21; 16; 16; 25; 21; 29; 0; 0; 0; 2; 0; 0; 0; 0; 1; 1; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 7; 12; 16; 11; 9; 13; 11; 8; 6; 10; 8; 11; 8; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 5; 4; 4; 4; 4; 5; 5; 6;,,,; 9; 3; 2; 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Tabuaço; 4;,,,; 4; 2; 2; 5;,,,; 2; 2;,,,;,,,; 0; 1; 18; 21; 17; 23; 11; 19; 23; 13; 14; 19; 12; 18; 11; 10; 14; 17; 21; 16;,,,; 17; 19; 24; 13; 16; 18; 11; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;,,,; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 13; 12; 11; 10; 14; 8; 13; 9; 6; 10; 5; 14; 14; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 3; 4; 7; 4;,,,; 6; 4; 3; 4; 4; 1;,,,; 7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Tarouca; 3; 3;,,,;,,,;,,,; 1; 5; 3; 1; 2; 0; 3;,,,; 15; 13; 23; 23; 20; 21; 28; 25; 23; 24; 16; 24; 14; 30; 25; 29; 30; 25; 23; 15; 20; 27; 32; 19; 21; 22; 0; 1; 0;,,,; 1; 0; 0; 1; 2; 0; 0; 1; 2; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 6; 20; 16; 7; 14; 9; 11; 8; 7; 7; 14; 7; 16; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 4; 4;,,,; 4; 7; 3; 5; 3; 3; 4; 3; 7; 6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Torre de Moncorvo; 9; 4; 4; 9; 4; 12; 4; 6; 3; 8; 2; 2; 4; 27; 21; 22; 25; 26; 26; 19; 43; 28; 29; 30; 27; 28; 57; 37; 45; 47; 45; 42; 38; 43; 46; 56; 38; 47; 28; 0; 0; 0; 3; 1; 0; 0; 1; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 3; 0; 0; 0; 0; 18; 20; 16; 7; 16; 10; 11; 15; 12; 18; 11; 20; 13; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 5; 5; 8; 5; 7; 7; 6; 6; 4; 8; 6; 5; 9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Vila Nova de Foz Côa; 5; 5; 6; 3; 5; 4; 6; 4; 5; 7; 4; 4; 3; 25; 18; 22; 13; 26; 40; 32; 19; 26; 27; 26; 24; 20; 38; 35; 25; 30; 40; 37; 27; 37; 45; 45; 33; 34; 23; 2; 0; 0; 2; 0; 0; 1;,,,; 0; 2; 0; 3; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 8; 11; 14; 10; 15; 12; 22; 13; 14; 12; 9; 15; 11; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 10; 4; 6; 6; 9; 7; 3; 12; 8; 10; 8; 5; 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Vila Real; 25; 13; 16; 22; 16; 13; 11; 15; 8; 15; 8; 8; 12; 94; 98; 109; 98; 120; 112; 115; 105; 108; 108; 109; 113; 122; 141; 128; 181; 131; 164; 171; 157; 162; 154; 184; 179; 166; 161; 3; 3; 3; 7; 2; 5; 5; 7; 2; 1; 5; 3; 8; 1; 2; 0; 1; 1; 0; 2; 2; 2; 0; 1; 0; 0; 55; 64; 47; 54; 41; 52; 48; 38; 35; 41; 32; 44; 55; 2; 2; 1; 0; 2; 0; 2; 2; 2; 2; 1; 1;,,,; 26; 22; 24; 25; 31; 23; 38; 26; 10; 24; 19; 33; 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS III;Terras de Trás-os-Montes; 84; 89; 99; 73; 95; 64; 60; 76; 81; 67; 58; 61; 47; 352; 355; 351; 344; 389; 363; 365; 342; 382; 359; 351; 344; 359; 453; 517; 511; 515; 524; 487; 504; 503; 472; 532; 440; 447; 378; 12; 17; 13; 16; 24; 11; 14; 8; 14; 9; 13; 12; 13; 4; 1; 1; 1; 1; 2; 2; 0; 4; 0; 2; 2; 1; 180; 215; 162; 128; 184; 157; 181; 188; 179; 168; 161; 215; 256; 1; 2; 1; 3; 1; 1; 1; 1; 1; 0; 1; 1; 2; 82; 73; 70; 81; 80; 90; 82; 80; 74; 76; 80; 81; 80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Alfândega da Fé; 7; 10; 6; 4; 3; 1; 3; 4; 3; 6; 3; 4; 2; 19; 21; 17; 17; 17; 15; 20; 15; 17; 16; 15; 9; 18; 26; 31; 26; 25; 26; 22; 28; 19; 25; 25; 19; 31; 16; 0; 1; 0;,,,; 0; 1; 0; 0; 1; 0; 4; 0; 0; 0; 0; 0;,,,; 0; 0; 0; 0; 0; 0; 0; 0; 0; 5; 16; 8; 5; 12; 7; 6; 9; 5; 10; 14; 14; 8; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 4; 3; 0; 5; 7; 1; 4; 3; 2; 3; 2; 4; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Bragança; 22; 29; 29; 17; 20; 13; 12; 9; 15; 9; 10; 11; 12; 87; 83; 97; 111; 111; 92; 88; 95; 114; 99; 97; 103; 95; 131; 130; 127; 129; 143; 114; 99; 125; 98; 133; 104; 92; 95; 5; 4; 5; 4; 10; 0; 5; 4; 3; 2; 5; 3; 4; 2; 0; 1;,,,; 1; 0; 0; 0; 2; 0; 0; 0; 1; 34; 37; 37; 37; 48; 38; 53; 60; 61; 51; 39; 58; 78; 0; 1; 0;,,,; 1; 0; 1; 0; 0; 0; 0; 1; 2; 24; 12; 24; 23; 22; 27; 35; 22; 19; 24; 23; 29; 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Macedo de Cavaleiros; 10; 12; 19; 10; 14; 5; 9; 7; 14; 3; 4; 10; 4; 45; 52; 44; 36; 52; 57; 43; 47; 46; 52; 46; 42; 54; 56; 63; 54; 54; 67; 60; 62; 75; 67; 72; 62; 71; 50; 2; 2; 1; 2; 3; 3; 1; 1; 0; 2; 1; 2; 1; 0; 0; 0;,,,; 0; 0; 0; 0; 0; 0; 0; 0; 0; 39; 39; 31; 24; 26; 20; 24; 28; 23; 24; 19; 29; 39; 1; 0; 0; 0; 0; 1; 0; 0; 1; 0; 1; 0; 0; 14; 10; 11; 12; 15; 13; 6; 10; 5; 7; 17; 10; 12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Miranda do Douro; 8; 5; 7; 6; 7; 9; 4; 7; 6; 7; 7; 3; 3; 32; 21; 35; 20; 23; 19; 28; 24; 30; 19; 20; 24; 25; 29; 38; 43; 57; 33; 38; 50; 35; 32; 38; 32; 25; 26; 3; 2; 3; 0; 2; 0; 3; 0; 0; 1; 1; 2; 3; 0; 0; 0;,,,; 0; 0; 0; 0; 0; 0; 0; 0; 0; 7; 15; 15; 5; 7; 17; 16; 18; 14; 16; 8; 14; 17; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 6; 5; 2; 5; 1; 9; 8; 2; 2; 5; 3; 3; 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Mirandela; 13; 12; 11; 9; 17; 12; 12; 21; 27; 17; 16; 19; 12; 67; 71; 70; 59; 85; 72; 80; 68; 71; 74; 83; 75; 73; 73; 93; 102; 101; 101; 105; 99; 108; 88; 105; 80; 88; 82; 1; 2; 1; 5; 3; 4; 2; 1; 5; 2; 1; 2; 1; 0; 1; 0;,,,; 0; 2; 1; 0; 0; 0; 0; 2; 0; 36; 37; 31; 29; 32; 30; 27; 19; 17; 20; 20; 22; 34; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 13; 19; 10; 14; 12; 12; 11; 14; 18; 15; 10; 13; 18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Mogadouro; 11; 7; 6; 8; 12; 7; 4; 12; 6; 10; 8; 6; 6; 30; 40; 24; 28; 36; 27; 30; 22; 32; 28; 30; 30; 27; 48; 56; 39; 51; 48; 46; 59; 47; 51; 59; 47; 37; 36; 0; 2; 0; 3; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 0;,,,; 0; 0; 0; 0; 1; 0; 0; 0; 0; 17; 22; 13; 9; 13; 12; 17; 17; 9; 6; 12; 14; 24; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 3; 4; 6; 5; 7; 11; 7; 7; 5; 5; 7; 7; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Vila Flor; 5; 2; 8; 4; 5; 4; 7; 10; 2; 5; 5; 3; 4; 18; 24; 22; 26; 19; 14; 19; 24; 21; 19; 24; 28; 22; 31; 37; 26; 33; 38; 37; 30; 27; 38; 27; 32; 29; 19; 0; 0; 0; 0; 0; 0; 2; 1; 2; 0; 1; 1; 1; 0; 0; 0;,,,; 0; 0; 1; 0; 0; 0; 1; 0; 0; 21; 22; 11; 2; 13; 7; 4; 10; 5; 6; 7; 17; 15; 0; 0; 0;,,,; 0; 0; 0; 0; 0; 0; 0; 0; 0; 5; 3; 10; 2; 4; 5; 3; 3; 8; 3; 5; 3; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Vimioso; 3; 4; 4; 7; 8; 9; 6; 3; 8; 6; 2; 2; 0; 22; 17; 11; 17; 18; 26; 24; 19; 24; 27; 14; 14; 13; 23; 22; 36; 20; 36; 21; 32; 13; 30; 18; 24; 33; 21; 1; 0; 1;,,,; 4; 1; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0;,,,; 0; 0; 0; 0; 1; 0; 0; 0; 0; 11; 8; 5; 3; 13; 7; 11; 8; 21; 11; 16; 14; 12; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 3; 9; 1; 7; 5; 3; 3; 8; 6; 3; 3; 4; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Vinhais; 5; 8; 9; 8; 9; 4; 3; 3; 0; 4; 3; 3; 4; 32; 26; 31; 30; 28; 41; 33; 28; 27; 25; 22; 19; 32; 36; 47; 58; 45; 32; 44; 45; 54; 43; 55; 40; 41; 33; 0; 4; 2;,,,; 2; 1; 0; 0; 2; 1; 0; 1; 0; 1; 0; 0;,,,; 0; 0; 0; 0; 0; 0; 1; 0; 0; 10; 19; 11; 14; 20; 19; 23; 19; 24; 24; 26; 33; 29; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 10; 8; 6; 8; 7; 9; 5; 11; 9; 11; 10; 8; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS II;Centro;x;x;x;x;x;x;x;x;x;-;-; 698; 638;x;x;x;x;x;x;x;x;x;x;x; 4 837; 4 972;x;x;x;x;x;x;x;x;x;-;-; 6 069; 5 544;x;x;x;x;x;x;x;x;x;-;-; 173; 186;x;x;x;x;x;x;x;x;x;-;-; 29; 15;x;x;x;x;x;x;x;x;x;-;-; 2 459; 2 541;x;x;x;x;x;x;x;x;x;x;x; 14; 13;x;x;x;x;x;x;x;x;x;-;-; 955; 979;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS III;Região de Aveiro; 171; 185; 175; 159; 152; 127; 163; 132; 133;-;-; 115; 106; 810; 819; 852; 811; 839; 867; 964; 863; 925; 980; 993; 945; 984; 1 043; 1 090; 1 100; 1 069; 1 064; 1 086; 1 088; 1 067; 1 155;-;-; 1 097; 1 035; 26; 25; 30; 35; 29; 26; 21; 18; 32;-;-; 34; 35; 6; 4; 12; 3; 5; 4; 5; 7; 5;-;-; 8; 5; 477; 519; 439; 409; 475; 450; 456; 505; 435;-;-; 421; 490; 13; 9; 4; 6; 5; 5; 10; 8; 8; 4; 6; 3; 1; 135; 133; 148; 167; 156; 145; 154; 155; 150;-;-; 176; 182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Águeda; 25; 23; 26; 18; 23; 25; 36; 21; 24; 20; 13; 15; 13; 93; 105; 106; 102; 88; 113; 125; 114; 117; 127; 142; 106; 122; 138; 138; 153; 127; 138; 155; 150; 143; 130; 146; 124; 147; 132; 1; 4; 6; 7; 4; 1; 4; 0; 4; 7; 5; 5; 6; 1; 1; 4; 0; 2; 0; 0; 1; 0; 0; 0; 0; 1; 82; 76; 54; 62; 75; 64; 46; 62; 50; 53; 44; 40; 66; 2; 0; 1;,,,; 1; 1; 2; 2; 2; 0; 0; 0; 0; 21; 24; 16; 17; 19; 15; 25; 16; 13; 23; 20; 23; 24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Albergaria-a-Velha; 13; 6; 12; 7; 7; 9; 8; 7; 8; 14; 9; 12; 1; 65; 49; 48; 63; 51; 47; 66; 49; 69; 62; 72; 68; 69; 61; 82; 66; 76; 85; 80; 57; 85; 76; 72; 93; 74; 84; 3; 2; 2; 0; 1; 5; 1; 2; 4; 1; 2; 3; 3; 0; 0; 0; 0; 2; 1; 0; 1; 2; 0; 1; 1; 0; 29; 40; 24; 27; 28; 29; 32; 41; 34; 33; 23; 30; 33; 1; 1; 0;,,,; 0; 0; 0; 0; 0; 2; 0; 0; 1; 9; 8; 7; 9; 10; 7; 10; 10; 4; 10; 16; 14; 13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Anadia; 24; 21; 16; 14; 14; 13; 18; 20; 12; 13; 13; 13; 14; 74; 74; 86; 78; 81; 62; 79; 87; 75; 70; 76; 85; 83; 91; 109; 94; 95; 113; 102; 118; 112; 118; 117; 118; 130; 116; 2; 2; 4; 4; 0; 4; 2; 0; 5; 6; 3; 6; 4; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 3; 0; 39; 63; 63; 36; 50; 30; 40; 47; 47; 44; 31; 47; 52; 1; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 1; 0; 15; 14; 17; 9; 15; 16; 17; 26; 25; 15; 18; 11; 14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Aveiro; 20; 29; 23; 27; 23; 14; 24; 11; 19; 13; 11; 19; 19; 170; 169; 203; 155; 185; 176; 208; 181; 192; 191; 211; 177; 212; 208; 203; 225; 186; 205; 187; 211; 183; 248; 275; 217; 197; 200; 6; 6; 3; 9; 6; 4; 3; 5; 3; 7; 11; 6; 5; 2; 1; 2;,,,; 0; 0; 0; 3; 1; 1; 0; 1; 1; 94; 89; 83; 87; 91; 75; 89; 102; 88; 64; 68; 79; 95; 1; 3; 0; 2; 1; 1; 1; 2; 2; 1; 1; 1; 0; 18; 24; 32; 33; 27; 38; 35; 23; 26; 31; 49; 24; 24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Estarreja; 13; 20; 13; 8; 18; 11; 19; 7; 16; 13; 14; 5; 12; 71; 65; 78; 66; 62; 69; 89; 70; 76; 81; 80; 94; 71; 83; 91; 100; 87; 92; 75; 95; 76; 90; 79; 70; 76; 68; 2; 4; 0; 5; 4; 4; 3; 2; 2; 1; 3; 1; 3; 0; 1; 2;,,,; 0; 1; 1; 1; 0; 0; 0; 0; 0; 38; 43; 30; 29; 28; 45; 32; 32; 29; 30; 32; 29; 45; 0; 1; 0; 0; 1; 0; 2; 1; 0; 0; 0; 0; 0; 6; 7; 17; 24; 15; 12; 6; 14; 15; 17; 10; 17; 17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Ílhavo; 15; 17; 17; 20; 5; 7; 9; 4; 7; 7; 9; 10; 9; 72; 83; 84; 100; 100; 92; 91; 98; 94; 100; 109; 99; 115; 102; 88; 91; 98; 67; 78; 77; 89; 95; 111; 119; 111; 98; 1; 2; 2; 2; 3; 2; 1; 1; 4; 5; 4; 2; 3; 1; 0; 1; 0; 0; 1; 0; 0; 0; 1; 1; 0; 2; 43; 47; 44; 42; 65; 49; 49; 53; 46; 37; 30; 54; 45; 3; 4; 2;,,,; 0; 1; 1; 1; 1; 0; 1; 0; 0; 15; 13; 12; 12; 13; 9; 16; 14; 15; 16; 25; 16; 19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
