;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Arcos de Valdevez; 14; 14; 13; 9; 12; 10; 6; 13; 12; 13; 11; 10; 11; 72; 67; 69; 71; 93; 57; 74; 87; 75; 77; 71; 61; 66; 127; 141; 116; 104; 117; 108; 101; 106; 94; 109; 105; 108; 106; 2; 4; 1; 3; 1; 1; 2; 2; 6; 3; 1; 2; 8; 1; 1; 0;,,,; 0; 1; 4; 0; 0; 0; 0; 1; 0; 47; 67; 44; 60; 44; 55; 43; 42; 45; 33; 37; 30; 52; 0; 1; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 26; 16; 16; 19; 9; 16; 11; 19; 14; 12; 20; 16; 17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Caminha; 13; 7; 10; 9; 12; 8; 8; 5; 6; 5; 6; 3; 3; 53; 49; 40; 63; 60; 47; 42; 42; 67; 57; 51; 56; 46; 68; 77; 63; 70; 58; 61; 57; 68; 56; 99; 81; 65; 57; 0; 2; 1; 2; 1; 3; 0; 2; 0; 0; 0; 1; 3; 1; 0; 2;,,,; 0; 0; 0; 0; 0; 1; 1; 0; 0; 21; 27; 18; 25; 31; 26; 25; 23; 27; 24; 23; 24; 21; 1; 0; 1;,,,; 1; 0; 0; 0; 0; 0; 0; 0; 0; 14; 11; 8; 13; 6; 6; 12; 11; 11; 8; 8; 11; 10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Melgaço; 7; 8; 10; 2; 4; 8;,,,; 5; 7; 5; 8; 7; 4; 25; 46; 34; 38; 37; 36; 47; 39; 32; 35; 26; 34; 35; 43; 66; 55; 45; 60; 51; 62; 51; 53; 59; 63; 52; 58; 0; 1; 0; 0; 2; 0; 1; 1;,,,; 0; 0; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 22; 17; 27; 21; 25; 26; 42; 24; 28; 31; 19; 17; 24; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 3; 8; 7; 8; 4; 11; 8; 13; 12; 7; 6; 12; 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Monção; 9; 14; 11; 14; 14; 10; 4; 19; 13; 12; 6; 4; 7; 60; 54; 57; 74; 59; 64; 56; 63; 71; 66; 60; 62; 62; 118; 116; 120; 107; 108; 114; 147; 124; 126; 147; 124; 133; 119; 5; 2; 4; 4; 1; 3; 2; 0; 2; 1; 2; 0; 2; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 21; 25; 23; 27; 32; 33; 13; 22; 21; 21; 14; 25; 23; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 14; 19; 11; 12; 19; 12; 11; 12; 8; 11; 13; 8; 13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Paredes de Coura; 5; 8; 4; 3; 3; 6; 9; 5; 3; 4; 1; 1; 4; 28; 27; 38; 34; 31; 38; 32; 31; 31; 38; 34; 26; 34; 45; 36; 41; 34; 30; 34; 40; 31; 40; 50; 35; 52; 30; 0; 1; 0; 0; 3; 0; 1; 3; 1; 0; 2; 2; 1; 0; 1; 0;,,,; 0; 0; 0; 0; 0; 1; 0; 0; 0; 17; 17; 16; 8; 15; 21; 16; 16; 15; 11; 17; 10; 16; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 3; 4; 7; 8; 6; 7; 5; 5; 5; 7; 8; 5; 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Ponte da Barca; 3; 5; 5; 5; 5; 2; 2; 5; 5; 3; 3; 5; 1; 25; 35; 31; 30; 34; 35; 43; 37; 33; 40; 31; 36; 32; 63; 63; 44; 55; 52; 39; 53; 49; 49; 51; 61; 57; 46; 1; 1; 0;,,,; 3; 1; 1; 1; 1; 0; 0; 0; 3; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 13; 16; 16; 19; 23; 12; 13; 22; 25; 18; 13; 15; 14; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 8; 14; 8; 4; 7; 8; 10; 7; 9; 9; 6; 7; 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Ponte de Lima; 13; 23; 25; 19; 18; 12; 13; 11; 19; 19; 9; 15; 17; 102; 98; 106; 95; 113; 121; 114; 107; 114; 121; 103; 132; 97; 115; 124; 122; 123; 127; 127; 131; 132; 151; 119; 117; 139; 135; 3; 3; 6;,,,; 3; 1; 0; 3; 2; 2; 2; 2; 4; 1; 1; 1; 0; 1; 2; 0; 0; 0; 2; 0; 1; 0; 65; 78; 46; 45; 50; 68; 57; 45; 54; 51; 51; 59; 76; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 23; 21; 26; 25; 25; 23; 26; 23; 16; 29; 18; 26; 23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Valença; 6; 9; 9; 5; 7; 8; 6; 13; 4; 6; 5; 7; 11; 40; 26; 45; 43; 53; 44; 41; 41; 42; 59; 36; 42; 40; 69; 69; 64; 55; 53; 47; 80; 49; 60; 62; 53; 65; 52; 3; 1; 0; 6; 1; 1; 2; 6; 1;,,,; 1; 2; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 15; 10; 8; 5; 15; 19; 23; 22; 19; 24; 21; 27; 13; 1; 0; 0; 0; 1; 1; 0; 0; 1; 0; 0; 0; 0; 13; 12; 7; 11; 5; 8; 10; 7; 7; 14; 10; 2; 9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Viana do Castelo; 33; 30; 49; 24; 44; 37; 32; 30; 39; 34; 34; 36; 31; 228; 217; 231; 220; 228; 259; 239; 271; 259; 249; 246; 259; 229; 238; 252; 258; 233; 237; 252; 236; 286; 269; 257; 259; 261; 206; 5; 8; 4; 7; 2; 2; 5; 2; 9; 2; 5; 6; 8; 2; 7; 3; 0; 3; 1; 3; 0; 3; 0; 0; 2; 1; 103; 107; 82; 79; 98; 92; 102; 100; 106; 84; 86; 98; 99; 4; 0; 1;,,,; 3; 0; 1; 0; 0; 1; 0; 2; 0; 42; 41; 35; 38; 46; 31; 50; 51; 52; 39; 38; 46; 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Vila Nova de Cerveira; 2; 3; 2; 2; 5; 10;,,,; 4; 4; 5; 5; 8; 7; 30; 32; 25; 30; 19; 42; 30; 26; 25; 23; 29; 30; 28; 54; 48; 39; 43; 55; 38; 34; 39; 38; 42; 32; 23; 25; 1; 0; 1;,,,; 1; 2; 1; 0; 3; 4; 1; 1; 3; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 15; 15; 13; 9; 13; 11; 14; 12; 21; 10; 9; 13; 11; 0; 1; 0; 0; 2; 1; 0; 1; 0; 0; 0; 1; 0; 6; 3; 1; 7; 1; 4; 9; 4; 7; 2; 7; 9; 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS III;Cávado; 88; 95; 95; 67; 70; 79; 83; 66; 64; 77; 82; 79; 67; 765; 756; 778; 784; 812; 831; 801; 825; 858; 871; 817; 917; 823; 794; 851; 857; 887; 929; 958; 955; 927; 957; 962; 817; 888; 901; 18; 32; 20; 38; 29; 22; 20; 23; 26; 21; 38; 22; 33; 8; 5; 4; 10; 6; 4; 6; 8; 6; 3; 2; 6; 5; 377; 463; 357; 341; 454; 391; 381; 442; 351; 358; 294; 369; 340; 8; 12; 7; 7; 4; 3; 8; 5; 3; 5; 3; 3; 0; 160; 162; 113; 130; 157; 163; 140; 152; 162; 186; 185; 194; 174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Amares; 6; 9;,,,; 0; 2; 4; 2; 3; 1; 4; 7; 6; 3; 24; 32; 31; 28; 37; 34; 41; 31; 39; 34; 39; 33; 39; 37; 33; 51; 59; 71; 56; 54; 49; 62; 59; 37; 42; 39; 1; 0; 2; 3; 1; 1; 0; 1; 1; 2; 2; 0; 2;,,,; 0; 0;,,,; 0; 0; 0; 0; 0; 0; 0; 0; 0; 25; 27; 21; 28; 16; 22; 17; 23; 20; 24; 25; 17; 19; 0; 1; 0;,,,; 1; 0; 0; 1; 0; 0; 0; 0; 0; 9; 9; 7; 11; 8; 11; 9; 17; 10; 9; 8; 12; 12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Barcelos; 22; 24; 23; 17; 21; 21; 28; 23; 18; 28; 21; 25; 16; 206; 213; 221; 213; 221; 259; 221; 253; 211; 226; 244; 257; 212; 232; 245; 241; 265; 264; 273; 307; 275; 277; 284; 259; 271; 260; 5; 7; 10; 11; 10; 10; 3; 12; 10; 8; 11; 9; 11; 3; 2; 1; 3; 2; 2; 1; 0; 3; 0; 1; 0; 2; 106; 136; 102; 89; 151; 128; 104; 126; 86; 111; 84; 103; 92; 3; 2; 1;,,,; 1; 0; 1; 1; 0; 1; 0; 0; 0; 47; 47; 34; 38; 36; 58; 33; 44; 47; 53; 55; 49; 52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Braga; 33; 33; 45; 25; 25; 28; 33; 21; 19; 23; 35; 22; 26; 334; 304; 373; 364; 346; 348; 368; 345; 402; 377; 333; 412; 368; 277; 321; 305; 311; 338; 362; 348; 335; 358; 361; 298; 335; 346; 9; 13; 8; 15; 14; 9; 12; 6; 9; 8; 20; 9; 12; 3; 1; 1; 5; 1; 2; 2; 4; 2; 2; 0; 5; 3; 126; 163; 147; 129; 174; 143; 155; 190; 152; 149; 110; 156; 143; 4; 7; 5; 2; 2; 2; 5; 2; 3; 3; 3; 2; 0; 50; 67; 39; 50; 66; 58; 61; 59; 67; 68; 75; 73; 69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
